start_id,direction,step_index,relative_distance_m,frame_id,target_coverage,contour_span_over_target_bbox,contour_median_x_px,boundary_type,boundary_penetration_px,first_physical_termination,model_visible_termination,target_side_fraction,external_side_fraction
start_09,LEFT,6,3.0,12279,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,7,3.5,12283,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,LEFT,8,4.0,12287,0.88421875,1.0,2.0,PHYSICAL_TERMINATION,2.0,True,False,1.0,1.0
start_09,RIGHT,0,0.0,12255,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,1,0.5,12291,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,2,1.0,12295,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,3,1.5,12299,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,4,2.0,12303,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,5,2.5,12307,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,6,3.0,12311,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,7,3.5,12315,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_09,RIGHT,8,4.0,12319,0.886962890625,0.42018779342723006,638.0,UNRESOLVED,1.0,False,False,1.0,0.9217877094972067
start_10,LEFT,0,0.0,12323,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,1,0.5,12327,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,2,1.0,12331,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,3,1.5,12335,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,4,2.0,12339,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,5,2.5,12343,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,6,3.0,12347,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,7,3.5,12351,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,LEFT,8,4.0,12355,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,0,0.0,12323,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,1,0.5,12359,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,2,1.0,12363,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,3,1.5,12367,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,4,2.0,12371,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,5,2.5,12375,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,6,3.0,12379,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,7,3.5,12383,0.8875,0.004694835680751174,638.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_10,RIGHT,8,4.0,12387,0.8780826822916666,1.0,633.0,PHYSICAL_TERMINATION,6.0,True,False,1.0,1.0
start_11,LEFT,0,0.0,12391,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,1,0.5,12395,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,2,1.0,12399,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,3,1.5,12403,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
start_11,LEFT,4,2.0,12407,0.8875,0.004694835680751174,1.0,UNRESOLVED,1.0,False,False,1.0,0.0
